(0,1,638.0675969927121)
(0,3,1400.881419228445)
(0,5,170.33568723580245)
(0,10,387.8837301587296)
(0,14,189.0)
(0,16,155.8108547583384)
(0,19,81.31666666666668)
(0,20,129.72368643069493)
(0,24,100.27857142857142)
(0,28,90.10000000000005)
(0,29,51.055952380952455)
(0,31,53.51757032457873)
(0,33,152.83333333333334)
(0,36,177.28072254542838)
(0,38,79.68333333333332)
(0,44,22.94166666666667)
(0,59,189.0)
(0,109,189.0)
(0,118,119.58333333333319)
(0,125,561.0)
(0,208,98.1000000000001)
(0,220,189.0)
(0,241,106.84523809523799)
(1,4,390.68820068820065)
(1,5,105.21626984126988)
(1,10,2216.6174713014116)
(1,16,81.85400432900435)
(1,19,52.11666666666668)
(1,20,34.75515873015881)
(1,21,278.0)
(1,22,40.7008658008658)
(1,24,529.747269281208)
(1,25,110.45932539682538)
(1,27,72.51785714285714)
(1,28,62.949999999999974)
(1,29,41.953571428571415)
(1,31,31.5547619047619)
(1,33,407.32015854153985)
(1,34,65.88401287727663)
(1,44,330.57183638077527)
(1,62,120.98095238095244)
(1,65,40.745238095238086)
(1,66,186.5)
(1,68,42.8404761904762)
(1,73,57.35264297106415)
(1,82,110.45932539682539)
(1,83,189.0)
(1,105,69.58401287727662)
(1,146,186.5)
(1,149,280.0)
(1,241,82.15476190476201)
(1,253,189.0)
(1,254,81.95027870680043)
(1,257,94.76190476190486)
(1,275,148.21428571428572)
(1,330,189.0)
(1,372,189.0)
(1,382,189.0)
(1,446,189.0)
(1,463,96.42857142857149)
(1,473,189.0)
(1,525,189.0)
(1,605,189.0)
(1,644,110.95932539682539)
(1,656,189.0)
(1,660,92.54338118022355)
(1,672,71.67256077256081)
(1,688,189.0)
(1,706,189.0)
(1,774,110.45932539682538)
(1,1121,189.0)
(1,1150,189.0)
(1,1325,189.0)
(1,1389,189.0)
(1,1667,189.0)
(2,6,4.0)
(2,216,3.0)
(3,10,743.2490653250372)
(3,12,467.13333333333344)
(3,18,340.0)
(3,24,1308.1145213602294)
(3,26,344.46666666666664)
(3,30,3669.512698412697)
(3,36,215.63333333333333)
(3,38,109.31666666666666)
(3,41,582.0982794982799)
(3,42,151.97456987457)
(3,44,377.4968363807754)
(3,45,376.0)
(3,50,1070.3719891219887)
(3,52,168.08594412123836)
(3,103,189.0)
(3,108,189.0)
(3,114,612.6982794982796)
(3,175,179.16666666666669)
(3,194,379.103992487668)
(3,217,185.66666666666669)
(3,228,363.1666666666667)
(3,284,154.67456987457)
(3,322,189.0)
(3,386,189.0)
(3,485,265.08818607186146)
(3,739,189.0)
(3,1030,189.0)
(4,16,245.80791430791453)
(4,20,99.34104784104782)
(4,22,125.13908868908872)
(4,65,55.25477300477301)
(4,69,372.0)
(4,87,186.0)
(4,105,9.92222222222222)
(4,460,186.0)
(5,10,608.6224663064049)
(5,16,21.382178932178935)
(5,19,27.949999999999992)
(5,20,20.703571428571458)
(5,22,22.256421356421374)
(5,24,157.1879785719172)
(5,25,78.54067460317458)
(5,27,20.190476190476183)
(5,28,35.95)
(5,29,18.453571428571454)
(5,31,9.054761904761904)
(5,33,130.30820799208914)
(5,34,38.653835611995035)
(5,62,70.22698412698419)
(5,65,22.300793650793704)
(5,68,18.090476190476192)
(5,73,32.5137559808612)
(5,82,78.54067460317462)
(5,105,48.74272450088382)
(5,118,69.41666666666666)
(5,184,189.0)
(5,208,45.44999999999996)
(5,213,189.0)
(5,254,54.024860646599784)
(5,257,67.49999999999989)
(5,265,31.304761904761914)
(5,660,60.860845295055654)
(5,672,44.78784548784543)
(5,774,78.54067460317458)
(6,35,3.0)
(7,33,189.0)
(8,119,3.0)
(10,16,554.4504476817546)
(10,22,247.5382931396085)
(10,27,326.5918709809232)
(10,30,3986.4873015873036)
(10,31,170.3555721919924)
(10,68,103.91666666666667)
(10,265,111.87023809523812)
(10,355,189.0)
(12,33,644.5901335727831)
(12,41,124.60172050172059)
(12,42,39.02543012543016)
(12,50,203.17801087801084)
(12,71,189.0)
(12,74,242.99999999999994)
(12,78,132.01666666666662)
(12,114,131.30172050172052)
(12,194,99.14115477380416)
(12,284,34.32543012543016)
(12,307,189.0)
(16,19,27.616666666666667)
(16,20,14.524639249639238)
(16,24,126.66509414640127)
(16,27,18.22380952380952)
(16,29,17.12023809523809)
(16,31,7.971428571428571)
(16,33,112.91386534643068)
(16,34,37.82050227866172)
(16,62,67.22698412698419)
(16,65,16.288528138528132)
(16,68,17.423809523809524)
(16,73,31.307046024151248)
(16,95,189.0)
(16,105,42.487168945328285)
(16,145,83.38636363636364)
(16,208,45.44999999999995)
(16,254,53.024860646599784)
(16,265,31.304761904761914)
(16,463,66.16666666666666)
(16,644,78.04067460317461)
(16,672,43.12117882117876)
(18,41,15.0)
(18,50,21.0)
(18,321,189.0)
(20,22,17.264357864357876)
(20,24,99.45101008743028)
(20,27,20.338492063492097)
(20,31,11.64206349206348)
(20,33,60.89348616390214)
(20,62,31.23968253968252)
(20,65,4.101190476190476)
(20,73,14.72486899065847)
(20,105,16.073658346713376)
(20,257,26.738095238095266)
(20,275,40.785714285714256)
(20,463,26.40476190476191)
(21,39,96.0)
(21,66,2.5)
(21,146,2.5)
(22,65,15.02943722943722)
(22,73,15.358367509683328)
(24,29,35.459523809523866)
(24,65,81.69109135119565)
(24,74,238.07142857142856)
(24,120,500.2142857142858)
(24,145,105.61363636363636)
(24,532,189.0)
(24,697,189.0)
(26,41,25.53333333333333)
(26,42,8.799999999999999)
(26,483,189.0)
(27,29,17.64404761904763)
(27,31,5.842857142857142)
(27,33,89.15049669722843)
(27,34,21.842990885353398)
(27,62,41.11904761904759)
(27,65,17.43571428571429)
(27,68,6.7285714285714295)
(27,73,18.87169628616996)
(27,265,14.52023809523809)
(27,660,35.59577352472091)
(27,672,26.685081585081598)
(27,762,189.0)
(29,33,16.42619047619047)
(29,65,4.851190476190475)
(30,475,3857.0)
(30,1620,3724.0)
(31,33,50.37260704302302)
(31,34,24.798658346713406)
(31,62,45.20634920634919)
(31,65,14.316666666666658)
(31,73,20.624868990658427)
(33,65,42.62178797904601)
(33,74,138.46428571428572)
(33,274,189.0)
(36,52,20.914055878761776)
(36,75,189.0)
(39,149,94.0)
(41,50,24.066666666666666)
(41,113,95.76666666666668)
(41,160,189.0)
(41,192,189.0)
(41,1256,93.6)
(43,50,189.0)
(45,277,189.0)
(50,78,56.98333333333333)
(50,113,94.4)
(50,227,189.0)
(50,328,185.83333333333334)
(50,590,189.0)
(50,1256,95.4)
(50,1303,189.0)
(54,102,1.0)
(54,125,188.0)
(58,166,2.0)
(60,74,189.0)
(62,2288,189.0)
(65,105,9.034657552019972)
(69,87,2.0)
(69,460,2.0)
(69,1111,189.0)
(74,120,60.785714285714285)
(74,728,189.0)
(87,460,1.0)
(90,114,189.0)
(102,125,188.0)
(105,672,3.3999999999999995)
(111,681,1.0)
(113,328,3.166666666666666)
(114,366,189.0)
(114,723,189.0)
(119,1615,3.0)
(119,2543,3.0)
(120,183,189.0)
(120,209,189.0)
(134,194,189.0)
(142,1231,1.0)
(166,245,2.0)
(175,194,9.166666666666666)
(175,217,3.333333333333333)
(175,228,4.0)
(194,196,113.74514726147173)
(196,414,8.833333333333334)
(196,485,82.08818607186149)
(228,414,182.16666666666669)
(283,2281,1.0)
(359,468,1.0)
(475,713,186.33333333333331)
(475,1072,186.0)
(475,1270,93.33333333333333)
(475,1565,95.0)
(475,1620,2.0)
(475,1761,3335.0)
(475,2479,189.0)
(475,2575,94.5)
(475,3280,94.5)
(497,935,4.0)
(497,1530,4.0)
(497,1992,4.0)
(497,2116,4.0)
(541,780,108.5)
(541,1498,1.0)
(541,1648,79.5)
(576,1033,1.0)
(640,1245,186.0)
(640,1355,1969.0)
(640,1794,186.5)
(640,1866,187.0)
(640,2113,189.0)
(640,2150,186.5)
(640,2188,189.0)
(640,2606,189.0)
(640,2876,187.0)
